Name,Element,Role,Rarity,Weapon Type (Main),Weapon Type (Sub),Traits,Skills,Base Stats,Skill Stats,Intron Levels,Passive Upgrades,Feature
Margie,Pyro,DPS / Control / Skill DMG,5★,Polearm,Shotgun,Gleaner; Impression: Empathy; Fortune Favour,Margie’s Treasure Shovel; Margie’s Combustible Bin; Margie’s Recycling Sack,Pyro ATK: 21 → 395.39; HP: 83 → 1042; Shield: 83 → 1042; DEF: 264; Max Sanity: 160; Skill DMG: 100%; Skill Range: 100% → 130%; Skill Duration: 100%; Skill Efficiency: 100%; Morale: 0%; Resolve: 0%,"[Margie’s Treasure Shovel] Sanity Cost: 10, Effect Radius: 6m → 7.8m, DMG: 157% → 463%, Stun Duration: 2s, Max Targets: 6 | [Margie’s Combustible Bin] Sanity Cost: 50, Explosion DMG: 126% → 378%, Explosion Range: 6m → 7.8m, Enhanced Explosion DMG: 187% → 556%, Enhanced Explosion Range: 10m → 13m, Zealous Zone DMG: 49% → 139%, Zealous Zone Range: 10m → 13m, Zealous Zone Duration: 10s, Additional DMG: 127% → 370%, Additional DMG Range: 6m → 7.8m | [Margie’s Recycling Sack] Skill DMG Boost per Stack: 2.4% → 6%","Lv1: When Combustible Bin consumes Jackpot! stacks, 30% chance to regain the consumed stacks. | Lv2: Using Treasure Shovel has 12% chance to deal extra damage to 1 random nearby enemy. | Lv3: Treasure Shovel +2; Recycling Sack +1. | Lv4: Extends Zealous Zone duration from Combustible Bin to 20s. | Lv5: Combustible Bin +2; Recycling Sack +1. | Lv6: When Combustible Bin deals damage, Margie’s damage to that target increases by 60% for 5s.",ATK: +20% / +30%; Skill Range: +12% / +18%; Margie’s Pep Song: Increases ATK (+45%) for nearby teammates.; Strike: Combat Partner Increases ATK (+40%) for self and nearby allies.,
Outsider,Anemo,DPS,5★,Dual Blades,Dual Pistols,Name; Piscator; Impression: Empathy; Rapt Attention,Predator’s Pounce; Fang for Fang; Intron Lv. 2; Intron Lv. 3; Intron Lv. 4; Intron Lv. 5; Intron Lv. 6,Anemo ATK: 20 → 376.57; HP: 85 → 1067; Shield: 195 → 2448; DEF: 285; Max Sanity: 120; Skill DMG: 100%; Skill Range: 100%; Skill Duration: 100% → 115%; Skill Efficiency: 100%; Morale: 0%; Resolve: 0%,,,"ATK: +30%; Skill Duration: +6%; Skill Duration: +9%; Ravenous Gnaw: When not in **[Relentless Hunt]**, 20% chance to generate **1 [Fang Spike]** on melee hit (1s ICD).; Air Dominance: *(Partner)* Increase ATK (+40%) for the character and nearby Anemo teammate(s).",
Phantasio,Umbro,DPS / Skill DMG,5★,Greatsword,Shotgun,Adventurer; Impression: Chaos,Recitativo; Curtain Up; On Stage,Umbro ATK: 21 → 395.39; HP: 130 → 1632; Shield: 130 → 1632; DEF: 330; Max Sanity: 180; Skill DMG: 100%; Skill Range: 100%; Skill Duration: 100%; Skill Efficiency: 100% → 112.5%; Morale: 0%; Resolve: 0%,"[Recitativo] Sanity Cost: 20 → 18, DMG: 164% → 479%, DMG Radius: 6m, Adagio Duration: 8s, Aria Sanity Cost: 20 → 18, Aria DMG: 249% → 753%, Presto Skill Range Boost: 30%, Presto Duration: 5s | [Curtain Up] Sanity Cost: 10 → 9, Sanity Cost per Second: 30 → 27, Furious Claws 1-Hit DMG: 725% → 2174%, Furious Claws 2-Hit DMG: 725% → 2174%, Furious Claws 3-Hit DMG: 486% → 1449%, Furious Claws 4-Hit DMG: 1872% → 5616%, Furious Claws Plunge DMG: 1935% → 5796%, Furious Claws DMG Radius: 6m, Mournful Howl Beam DMG: 428% → 1274%, Mournful Howl Beam Length: 20m, Immersion by Duo: 0.6% Max Sanity, DMG Boost per Adagio stack: 91% → 280%, Fermata Sanity Recovery: 10, Immersion by Fermata: 6% Max Sanity | [On Stage] Bestial Fury ATK Boost: 25% Max Sanity → 70% Max Sanity, Bestial Fury Max ATK Boost: 315, Immersion by Recitativo: 20, Immersion by Aria: 20, Immersion per Second (Bestial Fury): 30, Devotion ATK Boost: 25% Max Sanity → 75% Max Sanity, Devotion Max ATK Boost: 315, Devotion Immersion Cost per Second: 30, Skill SPD Boost: 30%","Lv1: Immersion gained from Duo increased to 1.5% of Max Sanity. | Lv2: Using the 3rd hit of Furious Claws or Mournful Howl decreases Damage Taken by 25% and raises Concerto’s chance to 100%. | Lv3: Recitativo +2; On Stage +1. | Lv4: 4th hit or Plunge DMG increased by 110% if target has 10 Adagio stacks. | Lv5: Curtain Up +2; On Stage +1. | Lv6: Presto grants +90% Morale. When Duo triggers Immersion, extends Presto duration by 0.2s.","ATK: +20%; ATK: +30%; Skill Efficiency: +5%; Skill Efficiency: +7.5%; Concerto: When the 3rd hit of Furious Claws or Mournful Howl deals damage, 66.7% chance to inflict 1 Adagio stack.; Scale of Justice: Only active when deployed as a Combat Partner Increases ATK (+50%) for self and nearby Umbro teammates.",
Protagonist,Lumino,Support,5★,Sword,Assault Rifle,—; —; —,Dawn Beyond Night; Flare; Diffusion,Lumino ATK: 22 → 276.15; HP: 120 → 1506; Shield: 120 → 1506; DEF: 300; Max Sanity: 100; Skill DMG: 100%; Skill Range: 100% → 130%; Skill Duration: 100% → 115%; Skill Efficiency: 100%; Morale: 0%; Resolve: 0%,"[Dawn Beyond Night] Sanity Cost: 15, Swordwave DMG: 476% → 1439%, Swordwave Width: 10m → 13m | [Flare] Sanity Cost: 35, DMG: 702% → 2115%, DMG Radius: 10m → 13m, Ultra Shield: 5% Max Shield, Duration: 12s → 13.8s, Weapon DMG Boost: 15% → 51% | [Diffusion] DMG: 201% → 705%, DMG Radius: 3m → 3.9m","Lv1: While under Incandescence, Dawn Beyond Night’s Swordwaves deal +70% DMG. | Lv2: Casting Flare creates a Prism field (10m radius, 10s) that reduces enemy Movement SPD by 50%. | Lv3: Dawn Beyond Night +2; Diffusion +1. | Lv4: Using a skill grants +9% ATK Speed for 12s (up to 4 stacks). | Lv5: Flare +2; Diffusion +1. | Lv6: Incandescence additionally grants +54% CRIT Chance.",Skill Duration: +6% / +9%; Skill Range: +12% / +18%; Radiant Grace: Using Flare grants +100% Trigger Probability for self and allies (13.8s).; Edge: Combat Partner Increases Weapon DMG (+8%) for self and allies.,
Psyche,Anemo,DPS / Consonance Weapon / Weapon DMG / Skill DMG,5★,Polearm,Assault Rifle,Impression: Empathy; Gleaner,Chrysalis Dreamweave; Fluorescent Eclosion; Amberlight,Anemo ATK: 28 → 351.46; HP: 70 → 879; Shield: 140 → 1757; DEF: 252; Max Sanity: 150; Skill DMG: 100% → 120%; Skill Range: 100%; Skill Duration: 100%; Skill Efficiency: 100%; Morale: 0%; Resolve: 0% → 5%,"[Chrysalis Dreamweave] Sanity Cost: 30, Phantasm SPD Decrease: 20%, Phantasm DMG: 68.1% → 244.8%, Phantasm Effect Radius: 6m, Ethereal Powder DMG: 42.4% → 152.4%, Powder Stigma DMG: 12.7% → 44.4%, Powder Stigma Duration: 10s | [Fluorescent Eclosion] Sanity Cost: 10, Sanity Cost per Second: 30, Shooting DMG: 66.4% → 159.6%, Shooting DMG Radius: 3m, HP Loss per Second: 5% Max HP, Ultra Shield Conversion: 150% | [Amberlight] ATK Boost: 7.9% → 25%, Skill DMG Boost: 7.9% → 25%, Resolve Boost: 3.7% → 10%, Duration: 10s, DMG Boost per Buff: 1.2% → 3%","Lv1: Using Chrysalis Dreamweave or Phototaxis restores 10% Max HP and increases DMG by 35% for 12s. | Lv2: While in Flamboyance, fires 16 Ethereal Powders every 5s. Each Ethereal Powder/Powder Stigma hit has 35% chance to spawn a Phantasm. | Lv3: Chrysalis Dreamweave +2; Amberlight +1. | Lv4: While in Flamboyance, gains Eclosion: Immunity to Hitstun, -25% Damage Taken, +15 Auto Pickup Range. | Lv5: Fluorescent Eclosion +2; Amberlight +1. | Lv6: During Flamboyance, increases PEN stats by 50%.","Resolve: +2%; Resolve: +3%; Skill DMG: +8%; Skill DMG: +12%; Ephemeral as Dew: Using Fluorescent Eclosion at HP ≥75% grants Ephemeral as Dew (30s). When triggering Morale/Resolve, counts HP% as 1%. (Cooldown: 120s).; Mirth Carries: Only active when deployed as a Combat Partner Increases ATK (+50%) for self and nearby Anemo allies.",
Randy,Electro,Support / DEF / Shield,5★,Sword,Pistol,Adventurer; Impression: Wisdom; Keen Insight,Legitimate Slackness; Special Gift; Cavalier Composure,Electro ATK: 14 → 175.73; HP: 105 → 1318; Shield: 105 → 1318; DEF: 510 → 765; Max Sanity: 120; Skill DMG: 100%; Skill Range: 100%; Skill Duration: 100% → 115%; Skill Efficiency: 100%; Morale: 0%; Resolve: 0%,"[Legitimate Slackness] Sanity Cost: 30, Sanity Cost per Second: 5, DMG: 42% DEF + 17 → 114% DEF + 62, Effect Radius: 10m, Overwork Grudge ATK Decrease: 15%, Overwork Grudge DoT: 23% DEF → 77% DEF | [Special Gift] Sanity Cost: 30, Bespoke Shield Duration: 12s → 13.8s, Paralysis Duration: 2s, Effect Radius: 6m, Impact DMG: 119% DEF + 30 → 344% DEF + 93, Ultra Shield from Impact: 0.37% DEF + 10 → 1% DEF + 10 | [Cavalier Composure] DEF Boost per Stack: 0.37% DEF → 1% DEF, DEF Boost Cap per Stack: 20, Duration: 10s → 11.5s","Lv1: When Barrier absorbs projectile damage, inflicts 1 stack of Overwork Grudge on the attacker for 3s (max 2 stacks). | Lv2: Each level increases Randy’s Ultra Shield cap by 50 points. | Lv3: Legitimate Slackness +2; Cavalier Composure +1. | Lv4: Targets hit by Impact immediately take Overwork Grudge damage once. | Lv5: Special Gift +2; Cavalier Composure +1. | Lv6: When Impact hits a target, deals extra Electro Damage equal to 1200% of Randy’s Shield Points + Ultra Shield Points.","DEF: +20%; DEF: +30%; Skill Duration: +6%; Skill Duration: +9%; Well-Deserved Break: Once Barrier absorbs damage equal to 70% of Randy’s Max HP, consumes 20 Sanity to reset Barrier and deals its deployment damage again.; Holdfast: Only active when deployed as a Combat Partner Increases DEF (+40%) for self and nearby teammates.",
Rebecca,Hydro,DPS / Summon / Skill DMG,5★,Polearm,Grenade Launcher,Piscator; Impression: Empathy,Aurelian Caress; Lada Lovedew; Truelove Trial,Hydro ATK: 25 → 470.71; HP: 100 → 1255; Shield: 100 → 1255; DEF: 252; Max Sanity: 150; Skill DMG: 100%; Skill Range: 100% → 130%; Skill Duration: 100%; Skill Efficiency: 100%; Morale: 0%; Resolve: 0%,"[Aurelian Caress] Sanity Cost: 35, Duration: 14s, Summon DMG: 769% → 2308%, Summon DMG Radius: 10m → 13m | [Lada Lovedew] Sanity Cost: 75, DMG: 924% → 2769%, DMG Boost per Poison of Love stack: 358% → 1078%, DMG Radius: 20m → 26m | [Truelove Trial] Poison of Love Duration: 6s, Poison of Love DMG: 71% → 224%, Poison of Love Transfer Radius: 10m → 13m","Lv1: When triggering Bonus Effect, inflicts 1 additional Poison of Love stack. | Lv2: Max Aurelia Aurita increased to 5 and Poison of Love stack cap increased to 8. | Lv3: Aurelian Caress +2; Truelove Trial +1. | Lv4: Takes 30% less damage from targets inflicted with Poison of Love. | Lv5: Lada Lovedew +2; Truelove Trial +1. | Lv6: Defeating targets with Poison of Love grants 1 stack (+3% ATK, 15s, max 50 stacks). Duration refreshes per new stack.",ATK: +20%; ATK: +30%; Skill Range: +12%; Skill Range: +18%; Lovesick Energy: Normal melee attacks have a 25% chance to inflict Poison of Love for bonus damage. Lada Lovedew always triggers this effect.; Seven-Day Spread: Only active when deployed as a Combat Partner Increases ATK (+50%) for self and Hydro allies.,
Rhythm,Electro,DPS / Skill DMG,5★,Katana,Assault Rifle,Adventurer; Impression: Morality; Rapt Attention,Volt Rush; Electro Vortex; Tactical Preservation,Electro ATK: 22 → 412.22; HP: 94 → 1180; Shield: 94 → 1180; DEF: 276; Max Sanity: 150; Skill DMG: 100%; Skill Range: 100% → 130%; Skill Duration: 100%; Skill Efficiency: 100%; Morale: 0%; Resolve: 0%,"[Volt Rush] Sanity Cost: 20, DMG: 288.0% → 1162.0%, Volt Rush DMG Boost: 650% → 1937%, DMG Boost: 90%, DMG Boost Duration: 9s | [Electro Vortex] Sanity Cost: 10, Sanity Cost per Second: 20, DMG: 413% → 1250%, DMG Radius: 10m → 13m, Movement SPD Boost: 25%, Electro Surge Effect Radius: 50m, Electro Surge DMG: 126% → 387%, Positive Charge Radius: 20m, Electric Charge DMG: 1243% → 3718%, Electric Charge Duration: 6s | [Tactical Preservation] Conversion Percentage: 37% → 100%","Lv1: Electric Charge deals AoE damage within a 3m radius. | Lv2: Defeated enemies with Electric Charge transfer it to a new random target within 20m, retaining duration. | Lv3: Volt Rush +2; Tactical Preservation +1. | Lv4: At battle start, gains Electric Energy equal to 50% of Max Sanity. | Lv5: Electro Vortex +2; Tactical Preservation +1. | Lv6: Electro Surge hits 2 enemies per second instead of 1.","ATK: +20%; ATK: +30%; Skill Range: +12%; Skill Range: +18%; Poweroff Anxiety: When consuming Electric Energy, converts 50% back into Sanity.; Thundering Nightbreaker: Only active when deployed as a Combat Partner Increases ATK (+40%) for self and Electro allies.",
Sibylle,Electro,DPS / Max HP / Skill DMG,5★,Whipsword,Pistol,Piscator; Impression: Benefit; Rapt Attention,Divine Conqueror; Stormcaller; Might of Thunder,Electro ATK: 13 → 163.18; HP: 185 → 3483; Shield: 120 → 1506; DEF: 345; Max Sanity: 200; Skill DMG: 100% → 120%; Skill Range: 100%; Skill Duration: 100%; Skill Efficiency: 100%; Morale: 0%; Resolve: 0%,"[Divine Conqueror] Sanity Cost: 30, Divine Conqueror DMG: 29% Max HP + 33 → 110.4% Max HP + 126, Divine Conqueror DMG Radius: 6m, Legion's Punishment DMG: 26% Max HP + 26 → 85.2% Max HP + 96, Legion's Punishment Radius: 6m, Might of Thunder Cost: 20 | [Stormcaller] Sanity Cost: 50, Might of Thunder Cost: 100, Duration: 30s, Radius: 10m, Link DMG: 2.5% Max HP + 6 → 8.4% Max HP + 18, Enhanced Link DMG: 5.1% Max HP + 8 → 18% Max HP + 42, DMG Taken Transfer: 10%, Devastating Storm DMG: 26% Max HP + 59 → 96% Max HP + 222, Devastating Storm Radius: 10m | [Might of Thunder] Might of Thunder Gained: 6 → 15","Lv1: Chaotic Thunderorb transfers 2% more damage from Legion’s Punishment. | Lv2: Max Might of Thunder increased to 600. Each point increases Legion’s Punishment damage by 0.1% and orb transfer ratio by 0.01%. | Lv3: Divine Conqueror +2; Might of Thunder +1. | Lv4: Legion’s Punishment has a 20% chance to trigger its effect twice. | Lv5: Stormcaller +2; Might of Thunder +1. | Lv6: First time linking with Chaotic Thunderorb, deals an extra Legion’s Punishment hit (500% multiplier, guaranteed Electro Bonus Effect).",HP: +20%; HP: +30%; Skill DMG: +8%; Skill DMG: +12%; Master of Stormclouds: Damage from Divine Conqueror and Legion’s Punishment has a 100% chance to trigger Bonus Effect based on Melee Weapon Trigger Probability.; Divine Retribution: Only active when deployed as a Combat Partner Increases ATK (+50%) for self and Electro allies.,
Tabethe,Hydro,Support / Control / Summon,5★,Sword,Bow,Piscator; Impression: Chaos; Astute Mind,"Tabethe’s Speciality; Brawl for Justice!; Have Tricks, Will Travel!",Hydro ATK: 17 → 320; HP: 115 → 1444; Shield: 115 → 1444; DEF: 300; Max Sanity: 150; Skill DMG: 100%; Skill Range: 100%; Skill Duration: 100% → 115%; Skill Efficiency: 100%; Morale: 0%; Resolve: 0%,"[Tabethe’s Speciality] Sanity Cost: 30, Tentacle DMG Boost: 37% → 100%, Skill DMG Boost: 16% → 52%, Skill DMG Boost Duration: 8s → 9.2s | [Brawl for Justice!] Sanity Cost: 50, Summon DMG: 53% → 170%, Summon Duration: 12s → 13.8s | [Have Tricks, Will Travel!] Effect Trigger Probability: 6.5% → 20%, Summon DMG: 53% → 170%, Summon Duration: 12s → 13.8s","Lv1: Increases Brawl for Justice! summons to 12 and max Tentacles cap to 24. | Lv2: Each Tentacle hit has a 10% chance to reload 1 projectile (1s cooldown). | Lv3: Tabethe’s Speciality +2; Have Tricks, Will Travel! +1. | Lv4: Each Tentacle on the field increases Tabethe’s Crit Chance by 2%. | Lv5: Brawl for Justice! +2; Have Tricks, Will Travel! +1. | Lv6: Captured enemies take Hydro Damage equal to 280% of Tentacle ATK every 2s.","ATK: +20%; ATK: +30%; Skill Duration: +6%; Skill Duration: +9%; Tentacles Abound!: When summoning Tentacles, Tabethe gains 1 stack (+8% Crit Chance), up to 10 stacks (12s Duration).; Edge: Only active when deployed as a Combat Partner Increases Skill DMG (+8%) for self and nearby allies.",
Truffle and Filbert,Anemo,Support / Max HP / Heal,4★,Polearm,Bow,Impression: Empathy; Tamer; Fortune Favour,"Trotters Trot-Trot; Tummy Full, Hands Full; Chop-Chop, Commissaries!",Anemo ATK: 12 → 150.63; HP: 185 → 3483; Shield: 150 → 1883; DEF: 310; Max Sanity: 120; Skill DMG: 100%; Skill Range: 100%; Skill Duration: 100% → 115%; Skill Efficiency: 100%; Morale: 0%; Resolve: 0%,"[Trotters Trot-Trot] Sanity Cost: 20, Path DMG: 14% Max HP + 15 → 50% Max HP + 51, Endpoint DMG: 14% Max HP + 15 → 50% Max HP + 51, Endpoint DMG Radius: 6m, Healing: 1.6% Max HP + 30, DMG Boost: 26% → 89%, DMG Boost Duration: 6s → 6.9s, Trotters Charge-Charge Sanity Cost per sec: 6, Trotters Charge-Charge Endpoint DMG: 119% Max HP + 125 → 362% Max HP + 368, Trotters Charge-Charge Endpoint Radius: 6m | [Tummy Full, Hands Full] Sanity Cost: 60, Path DMG: 119% Max HP + 125 → 362% Max HP + 368, Filbert 1-Hit DMG: 126% Max HP + 132 → 387% Max HP + 393, Filbert 2-Hit DMG: 158% Max HP + 156 → 473% Max HP + 480, Filbert Plunge DMG: 122% Max HP + 128 → 374% Max HP + 380 | [Chop-Chop, Commissaries!] DMG Boost per stack: 3.7% → 10%, DMG Taken Decrease per stack: 0.65% → 2%, Duration: 18s → 20.7s","Lv1: Reduces Passion For Work loss rate by 50%. | Lv2: Using a skill applies ATK boost (3% of Truffle’s Max HP, max 300) to allies for 10s. | Lv3: Trotters Trot-Trot +2; Chop-Chop, Commissaries! +1. | Lv4: Increases Heavyweight cap to 20; gains 20 stacks when mounting Filbert. | Lv5: Tummy Full, Hands Full +2; Chop-Chop, Commissaries! +1. | Lv6: Picking up Activated Sal Volatile, Tranquilizer Dewdrop, or Ammo Supply Chest grants +45% Skill DMG for 15s (up to 3 stacks).","HP: +20%; HP: +30%; Skill Duration: +6%; Skill Duration: +9%; Combat Supply: When dealing Skill Damage, has a 10% chance to drop 1 Ammo Supply Chest.; Peep & Peck: Only active when deployed as a Combat Partner Increases Resolve (+5%) for self and teammates with shared element types.",
Yale and Oliver,Pyro,DPS / Skill DMG,4★,Sword,Shotgun,Tamer; Impression: Wisdom; Astute Mind,Tot Popper; Nightmare’s Grasp; The Rules of Bomb,Pyro ATK: 21 → 395.39; HP: 96 → 1205; Shield: 96 → 1205; DEF: 288; Max Sanity: 180; Skill DMG: 100% → 120%; Skill Range: 100%; Skill Duration: 100%; Skill Efficiency: 100%; Morale: 0%; Resolve: 0%,"[Tot Popper] Sanity Cost: 15, Tot Popper: Yale’s Make DMG: 502% → 1812%, Tot Popper: Oliver’s Make DMG: 836% → 3012%, Cross-Shaped Area Length: 15m, Cross-Shaped Area Width: 4m | [Nightmare’s Grasp] Sanity Cost: 30, Duration: 15s, Radius: 20m, Movement SPD Decrease: 40%, Explosion DMG: 695% → 2508%, Bonus DMG per Tot Popper: 278% → 1003%, Sanity Recovery per Tot Popper: 2 | [The Rules of Bomb] Tot Popper Landing DMG: 213% → 752.4%, Tot Popper Landing Radius: 6m","Lv1: If a Tot Popper is detonated by a different type, restores 1 Sanity; same type restores 2. | Lv2: Nightmare Lab Movement Speed Reduction increases to 60%. | Lv3: Tot Popper +2; The Rules of Bomb +1. | Lv4: Deploying Tot Popper in Nightmare Lab has a 45% chance to deploy an additional one. | Lv5: Nightmare’s Grasp +2; The Rules of Bomb +1. | Lv6: While affected by Bombing Frenzy, deployed Tot Poppers combine both types, dealing increased damage and stance reduction.","ATK: +20%; ATK: +30%; Skill DMG: +8%; Skill DMG: +12%; Bombing Memories: Each Tot Popper deployed grants 1 stack of Bombing Frenzy, up to 3 stacks. Bombing Frenzy: Increases Skill Efficiency (+8%, 5s duration).; Aetherflame: Only active when deployed as a Combat Partner Increases ATK (+40%) for self and nearby Pyro allies.",
Yuming,Electro,DPS / Skill DMG / Weapon DMG,5★,Polearm,Assault Rifle,Impression: Morality; Rapt Attention,Precipitous Thunderfall; Grimscales; Soaring Sky-High,Electro ATK: 22 → —; HP: 130 → —; Shield: 30 → —; DEF: 300 → —; Max Sanity: 200 → —; Skill DMG: 100% → —; Skill Range: 100% → —; Skill Duration: 100% → —; Skill Efficiency: 100% → —; Morale: 0% → —; Resolve: 0% → —,"[Precipitous Thunderfall] Sanity Cost: 18, Starlight Descent DMG: 119%, Starstorm Descent DMG: 267%, Starlight Descent DMG Radius: 6m, Raging Thunder DMG: 15%, Raging Thunder DMG Radius: 3m, Skill DMG Boost: 21%, Skill DMG Boost Duration: 12s | [Grimscales] Sanity Cost: 100, Skill DMG: 289, Skill DMG Radius: 10m, Xuanjiao Manifest DMG: 113%, Xuanjiao Max DMG Absorption: 37% Max HP, Fish-Dragon Dance DMG: 349%, Fish-Dragon Dance DMG Radius: 3m | [Soaring Sky-High] Thunderous Onslaught Electro RES Reduction per stack: 1.3%, Duration: 6s","Lv1: In Xuanjiao Manifest, gains 1 extra Reverse Scale with each Precipitous Thunderfall. Starstorm Descent increases Weapon ATK Range by 0.6 and Skill Range by 30% for 20s. | Lv2: Fish-Dragon Dance triggers 2 extra strikes within 10m of the original target. | Lv3: Precipitous Thunderfall +2; Soaring Sky-High +1. | Lv4: Plunging Attacks deal additional DMG equal to 10% of Skill DMG (max 36%). | Lv5: Grimscales +2; Soaring Sky-High +1. | Lv6: Starlight/Starstorm Descent DMG +50% per stack of Thunderous Onslaught. Using Starstorm Descent restores Xuanjiao absorption by 1.8%.",ATK: +20%; Weapon CRIT Chance: +30%; Thunder Roars: Gains 6 Reverse Scales upon using Grimscales.; Gallop Northwestward: Only active when deployed as a Combat Partner Increases Morale (+15%) for self and nearby Electro allies.,
Zhiliu,Electro,DPS / Skill DMG,5★,Greatsword,Dual Pistols,Impression: Wisdom; Astute Mind,Celestial Revelation; Heaven-Earth Divination; Talismans Coalescence,Electro ATK: 24 → —; HP: 80 → —; Shield: 140 → —; DEF: 252 → —; Max Sanity: 240 → —; Skill DMG: 100% → —; Skill Range: 100% → —; Skill Duration: 100% → —; Skill Efficiency: 100% → —; Morale: 0% → —; Resolve: 0% → —,"[Celestial Revelation] Sanity Cost: 15, Zhen DMG: 292%, Zhen DMG Radius: 4m, Xun DMG: 549%, Xun DMG Radius: 6m, Xun Ultra Shield: 3% Max Shield | [Heaven-Earth Divination] Heaven-Earth Divination Sanity Cost: 20, Thunder's Oracle Peal Sanity Cost: 30, Myriad Things Thrive Sanity Cost: 40, Fortune's Clarity Sanity Cost: 25, Heaven-Earth Divination DMG: 717%, Thunder's Oracle Peal DMG: 2307%, Myriad Things Thrive DMG: 521% × 3 + 1898%, Four Realms Align Radius: 20m, Four Realms Align Duration: 24s, Zhen-Xun Convergence DMG: 900%, Fortune's Clarity DMG: 1154%, Fortune's Clarity Skill DMG Boost: 27% (24s) | [Talismans Coalescence] Effect Trigger Probability: 17%","Lv1: Thunder's Oracle Peal additionally triggers Four Realms Align effect once. | Lv2: When using Ultimate, increases Talisman retention by 50%. Mutual Generation stack limit +8 (max 20). | Lv3: Celestial Revelation +2; Talismans Coalescence +1. | Lv4: Using Celestial Revelation increases ATK for self and allies by 30% (30s). | Lv5: Heaven-Earth Divination +2; Talismans Coalescence +1. | Lv6: Within Four Realms Align, increases Zhiliu’s PEN by 55%.","Morale: +6%; Skill DMG: +12%; Mutual Generation: Electro Skill DMG by self/allies grants 1 stack (+5% Morale, max 12, 6s duration).; Divine Retribution: Combat Partner Increases ATK (+50%) for self and nearby Electro allies.",
