Name,Element,Weapon Type,Category,Damage Type,Rarity,Refinement Skill,Base Stats,Motion Values,Description
Embla Inflorescence,Lumino,Bow,Range,Slash,,"Effect: Skill Range (+30% / 36% / 42% / 48% / 54% / 60%). While charging, gradually locks onto nearby enemies. Upon release, fires tracking arrows at all locked targets. When a Lumino character deals Skill Damage, grants (+35% / 42% / 49% / 56% / 63% / 70%) Skill DMG for 6s. || Refinements: [R1: 30%, 35% | R2: 36%, 42% | R3: 42%, 49% | R4: 48%, 56% | R5: 54%, 63% | R6: 60%, 70%]",Slash ATK: 15 → 188.28; CRIT Chance: 22%; CRIT DMG: 220%; ATK Speed: 1; Trigger Prob: 30%; Multishot: 1; Max Ammo: 150; Ammo Conv Rate: 125,Projectile_Calibre: 0.2m; Projectile_DMG: 18%,
Entropic Singularity,Neutral,Pistol,Melee,Slash,,"Effect: Trigger Probability (+75% / 90% / 105% / 120% / 135% / 150%). Each shot may fire an **extra projectile** at no Ammo cost, dealing AoE DMG = (50% / 60% / 70% / 80% / 90% / 100%) of ATK. || Refinements: [R1: +75%, 50% | R2: 90%, 60% | R3: 105%, 70% | R4: 120%, 80% | R5: 135%, 90% | R6: 150%, 100%]",Slash ATK: 16 → 200.84; CRIT Chance: 20%; CRIT DMG: 210%; ATK Speed: 1; Trigger Prob: 57.75%; Multishot: 1; Mag Capacity: 20; Max Ammo: 150; Ammo Conv Rate: 40,explosionDmg: 50%; explosionRadius: 3m; projectileDmg: 71%,
Excresduo,Neutral,Dual Pistols,Range,Spike,,Effect: Skill Damage (+24% / 28.8% / 33.6% / 38.4% / 43.2% / 48%). || Refinements: [R1: +24% | R2: 28.8% | R3: 33.6% | R4: 38.4% | R5: 43.2% | R6: 48%],Spike ATK: 21 → 263.6; CRIT Chance: 20%; CRIT DMG: 220%; ATK Speed: 1; Trigger Prob: 28%; Multishot: 1; Mag Capacity: 20; Max Ammo: 150; Ammo Conv Rate: 60,,
Exiled Fangs,Neutral,Dual Blades,Melee,Slash,,"Effect: ATK Speed (+25% / 30% / 35% / 40% / 45% / 50%). When dealing damage with this weapon triggers a Bonus Effect, if HP < 25%, 45% chance to restore (1.5% / 1.8% / 2.1% / 2.4% / 3.7% / 3%) of Max HP. || Refinements: [R1: +25%, 1.5% | R2: 30%, 1.8% | R3: 35%, 2.1% | R4: 40%, 2.4% | R5: 45%, 3.7% | R6: 50%, 3%]",Slash ATK: 21 → 263.6; CRIT Chance: 16%; CRIT DMG: 210%; ATK Speed: 1.25; Trigger Prob: 33%,,
Exiled Thunderwyrm,Electro,Assault Rifle,Range,Spike,,"Effect: Trigger Probability (+75% / 90% / 105% / 120% / 135% / 150%). Fires a beam that can ricochet off the target and hit up to 4 enemies within range. When an Electro character triggers Bonus Effects with this weapon, the user gains (+45% / 54% / 63% / 81% / 90%) Skill Damage for 10s. || Refinements: [R1: 75%, 45% | R2: 90%, 54% | R3: 105%, 63% | R4: 120%, 72% | R5: 135%, 81% | R6: 150%, 90%]",Spike ATK: 15 → 188.28; CRIT Chance: 25%; CRIT DMG: 220%; ATK Speed: 1; Trigger Prob: 26.25%; Multishot: 1; Mag Capacity: 30; Max Ammo: 160; Ammo Conv Rate: 160,Beam_Damage: 17.6%; Firing_Interval: 0.1 shots/s; Ricochet_DMG: 17.6%,
Fathomless Sharkgaze,Neutral,Dual Blades,Melee,Spike,,Effect: Skill Range (+36% / 43.2% / 50.4% / 57.6% / 64.8% / 72%). || Refinements: [R1: +36% | R2: 43.2% | R3: 50.4% | R4: 57.6% | R5: 64.8% | R6: 72%],Spike ATK: 20 → 251.04; CRIT Chance: 20%; CRIT DMG: 235%; ATK Speed: 1; Trigger Prob: 28%,,
Flamme De Epuration,Neutral,Assault Rifle,Range,Slash,,"Effect: Trigger Probability (+75% / 90% / 105% / 120% / 135% / 150%). When this weapon triggers a Bonus Effect on hit, there is a (30% / 36% / 42% / 48% / 54% / 60%) chance to reload 1 projectile. || Refinements: [R1: 75%, 30% | R2: 90%, 36% | R3: 105%, 42% | R4: 120%, 48% | R5: 135%, 54% | R6: 150%, 60%]",Slash ATK: 19 → 238.49; CRIT Chance: 15%; CRIT DMG: 200%; ATK Speed: 1; Trigger Prob: 57.75%; Multishot: 1; Mag Capacity: 50; Max Ammo: 120; Ammo Conv Rate: 150,Beam_Damage: 20%; Firing_Interval: 0.13 shots/s,
Guixu Ratchet,Neutral,Grenade Launcher,Range,Slash,,"Effect: **CRIT DMG (+62.5% / 75% / 87.5% / 100% / 112.5% / 125%)**. On hit, projectile **splits into 2** additional projectiles that continue to travel. After switching to this weapon, **Multishot (+38.0% / 45.6% / 53.2% / 60.8% / 68.4% / 73%)**, decays over time; can trigger **once every 10s** and **removed on weapon switch**. || Refinements: [R1: +62.5%, +38.0% | R2: 75%, 45.6% | R3: 87.5%, 53.2% | R4: 100%, 60.8% | R5: 112.5%, 68.4% | R6: 125%, 73%]",Slash ATK: 16 → 200.84; CRIT Chance: 22%; CRIT DMG: 349.38%; ATK Speed: 1; Trigger Prob: 20%; Multishot: 1; Mag Capacity: 8; Max Ammo: 20; Ammo Conv Rate: 30,,
Ingenious Tactics,Neutral,Sword,Melee,Slash,,"Effect: DEF (+50% / 60% / 70% / 80% / 90% / 100%). When dealing damage triggers Bonus Effect, (25% / 30% / 35% / 40% / 45% / 50%) chance to decrease target’s Shield by 350% of DEF. || Refinements: [R1: +50%, 25% | R2: 60%, 30% | R3: 70%, 35% | R4: 80%, 40% | R5: 90%, 45% | R6: 100%, 50%]",Slash ATK: 18 → 225.94; CRIT Chance: 20%; CRIT DMG: 200%; ATK Speed: 1; Trigger Prob: 33%,chargedAttack: 113%; hit1: 45%; hit2: 50%; hit3: 40% × 2; hit4: 82%; plungeDmg: 51%; slidingAttack: 51%,
Ironforger,Neutral,Greatsword,Melee,Slash,,"Effect: CRIT Chance (+50% / 60% / 70% / 80% / 90% / 100%). When dealing damage triggers Bonus Effect, has (2.1% / 2.94% / 3.36% / 3.78% / 4.2%) chance to increase Combo Level to maximum. || Refinements: [R1: +50% | R2: 60% | R3: 70% | R4: 80% | R5: 90% | R6: 100%]",Slash ATK: 18 → 225.94; CRIT Chance: 30%; CRIT DMG: 205%; ATK Speed: 1; Trigger Prob: 30%,,
Momiji Itteki,Neutral,Katana,Melee,Slash,,"Effect: **CRIT DMG (+62.5% / 74.4% / 86.8% / 99.2% / 112.5% / 125%)**. On hit, **Damage Dealt (+9.0% / 10.8% / 12.6% / 14.4% / 16.2% / 18%)**, with an **additional +9.0% per Combo Level**. || Refinements: [R1: +62.5%, +9.0% | R2: 74.4%, 10.8% | R3: 86.8%, 12.6% | R4: 99.2%, 14.4% | R5: 112.5%, 16.2% | R6: 125%, 18%]",Slash ATK: 19 → 238.49; CRIT Chance: 22%; CRIT DMG: 365.63%; ATK Speed: 1; Trigger Prob: 15%,,
Osteobreaker,Neutral,Assault Rifle,Range,Spike,,Effect: Skill Duration (+18% / 21.6% / 25.2% / 28.8% / 32.4% / 36%). || Refinements: [R1: 18% | R2: 21.6% | R3: 25.2% | R4: 28.8% | R5: 32.4% | R6: 36%],Spike ATK: 17 → 213.39; CRIT Chance: 23%; CRIT DMG: 225%; ATK Speed: 1; Trigger Prob: 30%; Multishot: 1; Mag Capacity: 50; Max Ammo: 200; Ammo Conv Rate: 200,Firing_Interval: 0.1 shots/s; Projectile_Damage: 16%,
Punitive Inferno,Pyro,Greatsword,Melee,Smash,,"Effect: Max HP **(+50% / 60% / 70% / 80% / 90% / 100%)**. When a **Pyro** character **takes damage**, grants **(+15% / 18% / 21% / 24% / 27% / 30%) Skill Duration** for **8s** *(up to 3 stacks).* || Refinements: [R1: +50%, +15% | R2: 60%, 18% | R3: 70%, 21% | R4: 80%, 24% | R5: 90%, 27% | R6: 100%, 30%]",Smash ATK: 19 → 238.49; CRIT Chance: 24%; CRIT DMG: 205%; ATK Speed: 1; Trigger Prob: 15%,,
Pyrothirst,Neutral,Greatsword,Melee,Smash,,Effect: Skill Duration **(+18% / 21.6% / 25.2% / 28.8% / 32.4% / 36%)**. || Refinements: [R1: +18% | R2: 21.6% | R3: 25.2% | R4: 28.8% | R5: 32.4% | R6: 36%],Smash ATK: 17 → 213.39; CRIT Chance: 24%; CRIT DMG: 210%; ATK Speed: 1; Trigger Prob: 20%,,
Remanent Reminiscence,Neutral,Sword,Melee,Spike,,Effect: ATK Range (+1.0 / 1.2 / 1.4 / 1.6 / 2.0). Landing a CRIT has a (33% / 39.6% / 46.2% / 52.8% / 59.4% / 66%) chance to restore 3 Sanity (cooldown 0.5s). || Refinements: [R1: 33% | R2: 39.6% | R3: 46.2% | R4: 52.8% | R5: 59.4% | R6: 66%],Spike ATK: 17 → 213.39; CRIT Chance: 30%; CRIT DMG: 210%; ATK Speed: 1; Trigger Prob: 12%,chargedAttack: 113%; hit1: 45%; hit2: 50%; hit3: 40% × 2; hit4: 82%; plungeDmg: 51%; slidingAttack: 51%,
Rendhusk,Neutral,Pistol,Melee,Smash,,Effect: Character ATK (+60% / 72% / 84% / 96% / 108% / 120%). || Refinements: [R1: +60% | R2: 72% | R3: 84% | R4: 96% | R5: 108% | R6: 120%],CRIT Chance: 25%; CRIT DMG: 230%; ATK Speed: 1; Trigger Prob: 15%; Multishot: 1; Mag Capacity: 15; Max Ammo: 150; Ammo Conv Rate: 40,projectileDmg: 71%,
Sacred Favour,Neutral,Katana,Melee,Spike,,"Effect: **Character ATK (+50% / 60% / 70% / 80% / 90% / 100%)**. **Charged Attacks** grant **(+75% / 90% / 105% / 120% / 135% / 150%) CRIT DMG** for **6.0s**. *Removed on weapon switch.* || Refinements: [R1: +50%, +75% | R2: 60%, 90% | R3: 70%, 105% | R4: 80%, 120% | R5: 90%, 135% | R6: 100%, 150%]",Spike ATK: 20 → 251.04; CRIT Chance: 20%; CRIT DMG: 250%; ATK Speed: 1; Trigger Prob: 20%,,
Sacrosanct Chorus,Neutral,Dual Pistols,Range,Slash,,"Effect: CRIT Chance (+50% / 60% / 70% / 80% / 90% / 100%). CRIT Damage grants (+6.2% / 7.44% / 8.68% / 9.92% / 11.16% / 12.5%) Multishot for 12s (max 10 stacks). Removed when switching weapons. || Refinements: [R1: +50%, +6.2% | R2: 60%, 7.44% | R3: 70%, 8.68% | R4: 80%, 9.92% | R5: 90%, 11.16% | R6: 100%, 12.5%]",Slash ATK: 18 → 225.94; CRIT Chance: 37.5%; CRIT DMG: 200%; ATK Speed: 1; Trigger Prob: 15%; Multishot: 1; Mag Capacity: 20; Max Ammo: 150; Ammo Conv Rate: 60,,
Sacrosanct Decree,Neutral,Pistol,Melee,Spike,,"Effect: Multishot (+37.5% / 45% / 52.5% / 60% / 67.5% / 75%). When this weapon triggers a **bonus effect on hit**, increases **Melee Weapon DMG** by (35% / 42% / 49% / 56% / 63% / 70%) for 12s. || Refinements: [R1: +37.5%, 35% | R2: 45%, 42% | R3: 52.5%, 49% | R4: 60%, 56% | R5: 67.5%, 63% | R6: 75%, 70%]",Spike ATK: 18 → 225.94; CRIT Chance: 25%; CRIT DMG: 205%; ATK Speed: 1; Trigger Prob: 30%; Multishot: 1.38; Mag Capacity: 15; Max Ammo: 150; Ammo Conv Rate: 40,projectileDmg: 71%,
Screamshot,Neutral,Shotgun,Range,Spike,,Effect: Skill Duration (+18% / 21.6% / 25.2% / 28.8% / 32.4% / 36%). || Refinements: [R1: +18% | R2: 21.6% | R3: 25.2% | R4: 28.8% | R5: 32.4% | R6: 36%],Spike ATK: 18 → 225.94; CRIT Chance: 20%; CRIT DMG: 180%; ATK Speed: 1; Trigger Prob: 20%; Multishot: 1; Mag Capacity: 6; Max Ammo: 60; Ammo Conv Rate: 50,explosionDmg: 30%; numberOfProjectiles: 5,
Searing Sandwhisper,Neutral,Bow,Range,Spike,,"Effect: ATK Speed (+25% / 30% / 35% / 40% / 45% / 50%). Each enemy struck by a single arrow increases the arrow's damage by (9% / 10.8% / 12.6% / 14.4% / 16.2% / 18%), up to (45% / 54% / 63% / 72% / 81% / 90%). || Refinements: [R1: 25%, 9%, 45% | R2: 30%, 10.8%, 54% | R3: 35%, 12.6%, 63% | R4: 40%, 14.4%, 72% | R5: 45%, 16.2%, 81% | R6: 50%, 18%, 90%]",Spike ATK: 17 → 213.39; CRIT Chance: 19%; CRIT DMG: 200%; ATK Speed: 1.25; Trigger Prob: 20%; Multishot: 1; Max Ammo: 50; Ammo Conv Rate: 50,Projectile_Calibre: 0.2m; Projectile_Calibre_-_Phase_2: 1.0m; Projectile_Calibre_-_Phase_3: 1.0m; Projectile_DMG: 35%; Projectile_DMG_-_Phase_2: 60%; Projectile_DMG_-_Phase_3: 143%,
Shackle of Lonewolf,Hydro,Sword,Melee,Spike,,"Effect: Trigger Probability (+75% / 90% / 105% / 120% / 135% / 150%). When a Hydro character triggers a bonus effect with this weapon, **other allies gain (+33% / 39.6% / 46.2% / 52.8% / 59.4% / 66%) ATK** for 6s. || Refinements: [R1: +75%, +33% | R2: 90%, 39.6% | R3: 105%, 46.2% | R4: 120%, 52.8% | R5: 135%, 59.4% | R6: 150%, 66%]",Spike ATK: 20 → 251.04; CRIT Chance: 22%; CRIT DMG: 215%; ATK Speed: 1; Trigger Prob: 52.5%,chargedAttack: 113%; hit1: 45%; hit2: 50%; hit3: 40% × 2; hit4: 82%; plungeDmg: 51%; slidingAttack: 51%,
Silent Sower,Neutral,Shotgun,Range,Smash,,"Effect: CRIT Chance (+50% / 60% / 70% / 80% / 90% / 100%). Projectiles attach to targets and explode after 3s. Projectiles stacked on the same position increase explosion DMG and range.  
  - 1 Stack: (217% / 227.75% / 238.5% / 249.25% / 260%)  
  - 2 Stacks: (383% / 398.4% / 413.8% / 429.2% / 444.6% / 460%)  
  - 3 Stacks: (592% / 615.6% / 639.2% / 662.8% / 686.4% / 710%) of original DMG. || Refinements: [R1: +50%, 383%, 592% | R2: 60%, 398.4%, 615.6% | R3: 70%, 413.8%, 639.2% | R4: 80%, 429.2%, 662.8% | R5: 90%, 444.6%, 686.4% | R6: 100%, 460%, 710%]",Smash ATK: 16 → 200.84; CRIT Chance: 24%; CRIT DMG: 180%; ATK Speed: 1; Trigger Prob: 15%; Multishot: 1; Mag Capacity: 12; Max Ammo: 90; Ammo Conv Rate: 25,2-HitexplosionRadius: 3m; 3-HitexplosionRadius: 4m; 4-HitexplosionRadius: 5m; explosionDmg: 100%; explosionDmg_Phase2_: 217%; explosionDmg_Phase3_: 383%; explosionDmg_Phase4_: 592%; explosionRadius: 2m,
Silverwhite Edict,Neutral,Grenade Launcher,Range,Spike,,"Effect: **ATK Speed +25.0%**. When this weapon **triggers a bonus effect on hit**, grants **+5.0% ATK Speed** for **12.0s** *(up to 10 stacks)*. *Removed on weapon switch.*",Spike ATK: 19 → 238.49; CRIT Chance: 25%; CRIT DMG: 235%; ATK Speed: 1.25; Trigger Prob: 30%; Multishot: 1; Mag Capacity: 200; Max Ammo: 500; Ammo Conv Rate: 330,,
Siren's Kiss,Neutral,Polearm,Melee,Spike,,"Effect: Skill Range (+30% / 36% / 42% / 48% / 54% / 60%). Normal Attacks grant (+3.6% / 4.32% / 5.04% / 5.76% / 6.48% / 7.2%) ATK Speed for 15s (up to 12 stacks). *Removed when switching weapons.* || Refinements: [R1: +30%, +3.6% | R2: 36%, 4.32% | R3: 42%, 5.04% | R4: 48%, 5.76% | R5: 54%, 6.48% | R6: 60%, 7.2%]",Spike ATK: 21 → 263.6; CRIT Chance: 22%; CRIT DMG: 220%; ATK Speed: 1; Trigger Prob: 22%,Charged: 10%; Plunge: 47%; Sliding: 40%; hit1: 35%; hit2: 25% × 3; hit3: 50%; hit4: 40%; hit5: 75%,
Soulrend,Neutral,Bow,Range,Smash,,Effect: Skill Range (+36% / 43.2% / 50.4% / 57.6% / 64.8% / 72%). || Refinements: [R1: 36% | R2: 43.2% | R3: 50.4% | R4: 57.6% | R5: 64.8% | R6: 72%],Smash ATK: 19 → 238.49; CRIT Chance: 22%; CRIT DMG: 205%; ATK Speed: 1; Trigger Prob: 33%; Multishot: 1; Max Ammo: 150; Ammo Conv Rate: 475,Number_of_Projectiles: 7; Projectile_Damage: 6.3%,
Stellar Finality,Neutral,Grenade Launcher,Range,Smash,,"Effect: Explosion Range **(+0.2 / 0.26 / 0.32 / 0.38 / 0.44 / 0.5)**. Projectiles **split into 6** additional projectiles on explosion (which also explode). On defeating a target, gain **+CRIT DMG (8.8% / 10.56% / 12.32% / 14.08% / 15.84% / 17.5%)** for **15s**, **up to 10 stacks**. *Removed on weapon switch.* || Refinements: [R1: +0.2, 8.8% | R2: 0.26, 10.56% | R3: 0.32, 12.32% | R4: 0.38, 14.08% | R5: 0.44, 15.84% | R6: 0.5, 17.5%]",Smash ATK: 14 → 175.75; CRIT Chance: 20%; CRIT DMG: 240%; ATK Speed: 1; Trigger Prob: 18%; Multishot: 1; Mag Capacity: 8; Max Ammo: 40; Ammo Conv Rate: 25,,
Submerged Serenade,Neutral,Assault Rifle,Range,Slash,,"Effect: CRIT Damage (+62.5% / 75% / 87.5% / 100% / 112.5% / 125%). Projectiles that hit the environment or travel a certain distance return to the user's position and increase the Ammo Count by 1. For each additional Ammo Count gained, the weapon's damage is increased by (4.5% / 5.4% / 6.3% / 7.2% / 8.1% / 9%), up to (45% / 54% / 63% / 72% / 81% / 90%). || Refinements: [R1: 62.5%, 4.5%, 45% | R2: 75%, 5.4%, 54% | R3: 87.5%, 6.3%, 63% | R4: 100%, 7.2%, 72% | R5: 112.5%, 8.1%, 81% | R6: 125%, 9%, 90%]",Slash ATK: 16 → 200.84; CRIT Chance: 22%; CRIT DMG: 357.5%; ATK Speed: 1; Trigger Prob: 25%; Multishot: 1; Max Ammo: 10; Ammo Conv Rate: 10,Firing_Interval: 0.1 shots/s; Projectile_Damage: 6%,
Tetherlash,Neutral,Whipsword,Melee,Smash,,Effect: Skill Duration (+18% / 21.6% / 25.2% / 28.8% / 32.4% / 36%). || Refinements: [R1: +18% | R2: 21.6% | R3: 25.2% | R4: 28.8% | R5: 32.4% | R6: 36%],Smash ATK: 19 → 238.49; CRIT Chance: 18%; CRIT DMG: 215%; ATK Speed: 1; Trigger Prob: 30%,chargedAttack: 16.1%; hit1: 40%; hit2: 50%; hit3: 60%; hit4: 50% × 2; plungeDmg: 51%; slidingAttack: 51%,
Undying Oneiros,Neutral,Whipsword,Melee,Spike,,"Effect: Max HP (+50% / 60% / 70% / 80% / 90% / 100%). When this weapon triggers a bonus effect on hit, grants (+8.6% / 10.32% / 12.04% / 13.76% / 15.48% / 17.2%) Max HP for 15s (up to 10 stacks). || Refinements: [R1: +50%, +8.6% | R2: 60%, 10.32% | R3: 70%, 12.04% | R4: 80%, 13.76% | R5: 90%, 15.48% | R6: 100%, 17.2%]",Spike ATK: 21 → 263.6; CRIT Chance: 20%; CRIT DMG: 225%; ATK Speed: 1; Trigger Prob: 30%,chargedAttack: 16.1%; hit1: 40%; hit2: 50%; hit3: 60%; hit4: 50% × 2; plungeDmg: 51%; slidingAttack: 51%,
Vernal Jade Halberd,Neutral,Polearm,Melee,Spike,,"Effect: ATK Speed (+25% / 30% / 35% / 40% / 45% / 50%). Deals (+45% / 54% / 63% / 72% / 81% / 90%) damage to targets afflicted with bonus effects. || Refinements: [R1: +25%, +45% | R2: 30%, 54% | R3: 35%, 63% | R4: 40%, 72% | R5: 45%, 81% | R6: 50%, 90%]",CRIT Chance: 24%; CRIT DMG: 215%; ATK Speed: 1.25; Trigger Prob: 30%,1-Hit: 35%; 2-Hit: 25% × 3; 3-Hit: 50%; 4-Hit: 40%; 5-Hit: 75%; chargedAttack: 10%; plungeDmg: 47%; slidingAttack: 40%,
Viridis Reefs,Neutral,Whipsword,Melee,Spike,,"Effect: Trigger Probability (+75% / 90% / 105% / 120% / 135% / 150%). Charged Attacks grant (+44% / 52.8% / 61.6% / 70.4% / 79.2% / 88%) ATK Speed for 6s. *Effect is removed when switching weapons.* || Refinements: [R1: +75%, +44% | R2: 90%, 52.8% | R3: 105%, 61.6% | R4: 120%, 70.4% | R5: 135%, 79.2% | R6: 150%, 88%]",Spike ATK: 17 → 213.39; CRIT Chance: 26%; CRIT DMG: 235%; ATK Speed: 1; Trigger Prob: 21%,chargedAttack: 16.1%; hit1: 40%; hit2: 50%; hit3: 60%; hit4: 50% × 2; plungeDmg: 51%; slidingAttack: 51%,
